,index,date,retail_and_recreation_percent_change_from_baseline
333,2761561,2021-01-13,-23.0
334,2761562,2021-01-14,-25.0
335,2761563,2021-01-15,-30.0
336,2761564,2021-01-16,-32.0
337,2761565,2021-01-17,-32.0
338,2761566,2021-01-18,-30.0
339,2761567,2021-01-19,-29.0
340,2761568,2021-01-20,-28.0
341,2761569,2021-01-21,-27.0
342,2761570,2021-01-22,-29.0
343,2761571,2021-01-23,-27.0
344,2761572,2021-01-24,-32.0
345,2761573,2021-01-25,-25.0
346,2761574,2021-01-26,-27.0
347,2761575,2021-01-27,-26.0
348,2761576,2021-01-28,-24.0
349,2761577,2021-01-29,-27.0
350,2761578,2021-01-30,-27.0
351,2761579,2021-01-31,-24.0
352,2761580,2021-02-01,-23.0
353,2761581,2021-02-02,-22.0
354,2761582,2021-02-03,-25.0
355,2761583,2021-02-04,-24.0
356,2761584,2021-02-05,-21.0
357,2761585,2021-02-06,-26.0
358,2761586,2021-02-07,-30.0
359,2761587,2021-02-08,-23.0
360,2761588,2021-02-09,-21.0
361,2761589,2021-02-10,-20.0
362,2761590,2021-02-11,-16.0
363,2761591,2021-02-12,-22.0
364,2761592,2021-02-13,-24.0
365,2761593,2021-02-14,-26.0
366,2761594,2021-02-15,-21.0
367,2761595,2021-02-16,-23.0
368,2761596,2021-02-17,-21.0
369,2761597,2021-02-18,-24.0
370,2761598,2021-02-19,-23.0
371,2761599,2021-02-20,-25.0
372,2761600,2021-02-21,-23.0
373,2761601,2021-02-22,-21.0
374,2761602,2021-02-23,-23.0
375,2761603,2021-02-24,-22.0
376,2761604,2021-02-25,-19.0
377,2761605,2021-02-26,-19.0
378,2761606,2021-02-27,-18.0
379,2761607,2021-02-28,-17.0
380,2761608,2021-03-01,-16.0
381,2761609,2021-03-02,-18.0
382,2761610,2021-03-03,-16.0
383,2761611,2021-03-04,-17.0
384,2761612,2021-03-05,-17.0
385,2761613,2021-03-06,-18.0
386,2761614,2021-03-07,-20.0
387,2761615,2021-03-08,-18.0
388,2761616,2021-03-09,-17.0
389,2761617,2021-03-10,-14.0
390,2761618,2021-03-11,-12.0
391,2761619,2021-03-12,-18.0
392,2761620,2021-03-13,-17.0
393,2761621,2021-03-14,-20.0
394,2761622,2021-03-15,-16.0
395,2761623,2021-03-16,-18.0
396,2761624,2021-03-17,-16.0
397,2761625,2021-03-18,-17.0
398,2761626,2021-03-19,-17.0
399,2761627,2021-03-20,-16.0
400,2761628,2021-03-21,-17.0
401,2761629,2021-03-22,-17.0
402,2761630,2021-03-23,-18.0
403,2761631,2021-03-24,-16.0
404,2761632,2021-03-25,-15.0
405,2761633,2021-03-26,-14.0
406,2761634,2021-03-27,-17.0
407,2761635,2021-03-28,-16.0
408,2761636,2021-03-29,-15.0
409,2761637,2021-03-30,-17.0
410,2761638,2021-03-31,-13.0
411,2761639,2021-04-01,-9.0
412,2761640,2021-04-02,-7.0
413,2761641,2021-04-03,-12.0
414,2761642,2021-04-04,-12.0
415,2761643,2021-04-05,-10.0
416,2761644,2021-04-06,-12.0
417,2761645,2021-04-07,-10.0
418,2761646,2021-04-08,-9.0
419,2761647,2021-04-09,-8.0
420,2761648,2021-04-10,-8.0
421,2761649,2021-04-11,-8.0
422,2761650,2021-04-12,-5.0
423,2761651,2021-04-13,-30.0
424,2761652,2021-04-14,-25.0
425,2761653,2021-04-15,-22.0
426,2761654,2021-04-16,-20.0
427,2761655,2021-04-17,-23.0
428,2761656,2021-04-18,-23.0
429,2761657,2021-04-19,-18.0
430,2761658,2021-04-20,-17.0
431,2761659,2021-04-21,-15.0
432,2761660,2021-04-22,-16.0
433,2761661,2021-04-23,-16.0
434,2761662,2021-04-24,-17.0
435,2761663,2021-04-25,-17.0
436,2761664,2021-04-26,-14.0
437,2761665,2021-04-27,-14.0
438,2761666,2021-04-28,-13.0
439,2761667,2021-04-29,-9.0
440,2761668,2021-04-30,-8.0
441,2761669,2021-05-01,-6.0
442,2761670,2021-05-02,-7.0
443,2761671,2021-05-03,-2.0
444,2761672,2021-05-04,-3.0
445,2761673,2021-05-05,-1.0
446,2761674,2021-05-06,-2.0
447,2761675,2021-05-07,-2.0
448,2761676,2021-05-08,-4.0
449,2761677,2021-05-09,-2.0
450,2761678,2021-05-10,6.0
451,2761679,2021-05-11,8.0
452,2761680,2021-05-12,6.0
453,2761681,2021-05-13,-13.0
454,2761682,2021-05-14,-8.0
455,2761683,2021-05-15,-7.0
456,2761684,2021-05-16,-5.0
457,2761685,2021-05-17,1.0
458,2761686,2021-05-18,-1.0
459,2761687,2021-05-19,-1.0
460,2761688,2021-05-20,-2.0
461,2761689,2021-05-21,-5.0
462,2761690,2021-05-22,-6.0
463,2761691,2021-05-23,-6.0
464,2761692,2021-05-24,-5.0
465,2761693,2021-05-25,-1.0
466,2761694,2021-05-26,4.0
467,2761695,2021-05-27,0.0
468,2761696,2021-05-28,-2.0
469,2761697,2021-05-29,-5.0
470,2761698,2021-05-30,-1.0
471,2761699,2021-05-31,5.0
472,2761700,2021-06-01,7.0
473,2761701,2021-06-02,3.0
474,2761702,2021-06-03,4.0
475,2761703,2021-06-04,0.0
476,2761704,2021-06-05,1.0
477,2761705,2021-06-06,-1.0
478,2761706,2021-06-07,2.0
479,2761707,2021-06-08,1.0
480,2761708,2021-06-09,2.0
481,2761709,2021-06-10,2.0
482,2761710,2021-06-11,-1.0
483,2761711,2021-06-12,-2.0
484,2761712,2021-06-13,-3.0
485,2761713,2021-06-14,-1.0
486,2761714,2021-06-15,-4.0
487,2761715,2021-06-16,-2.0
488,2761716,2021-06-17,-3.0
489,2761717,2021-06-18,-7.0
490,2761718,2021-06-19,-11.0
491,2761719,2021-06-20,-13.0
492,2761720,2021-06-21,-8.0
493,2761721,2021-06-22,-8.0
494,2761722,2021-06-23,-8.0
495,2761723,2021-06-24,-10.0
496,2761724,2021-06-25,-8.0
497,2761725,2021-06-26,-13.0
498,2761726,2021-06-27,-15.0
499,2761727,2021-06-28,-8.0
500,2761728,2021-06-29,-10.0
501,2761729,2021-06-30,-10.0
502,2761730,2021-07-01,-6.0
503,2761731,2021-07-02,-8.0
504,2761732,2021-07-03,-18.0
505,2761733,2021-07-04,-22.0
506,2761734,2021-07-05,-13.0
507,2761735,2021-07-06,-15.0
508,2761736,2021-07-07,-15.0
509,2761737,2021-07-08,-17.0
510,2761738,2021-07-09,-20.0
511,2761739,2021-07-10,-25.0
512,2761740,2021-07-11,-28.0
513,2761741,2021-07-12,-19.0
514,2761742,2021-07-13,-21.0
515,2761743,2021-07-14,-19.0
516,2761744,2021-07-15,-18.0
517,2761745,2021-07-16,-22.0
518,2761746,2021-07-17,-25.0
519,2761747,2021-07-18,-28.0
520,2761748,2021-07-19,-14.0
521,2761749,2021-07-20,-35.0
